#{"t_start": 1779171662.9293005, "env_id": "None"}
r,l,t
221.707067,102,135.141171
222.415543,103,135.206185
222.587129,104,135.272693
222.532427,103,135.339694
221.835274,103,136.052971
222.32286,103,136.118077
222.446345,104,136.184588
222.802791,105,136.251588
223.080126,105,136.318095
-3.602043,500,136.635752
222.238564,103,137.354481
222.782133,104,137.419502
222.883654,104,137.485578
222.265647,103,137.550579
222.880105,105,137.616118
222.303778,103,137.679628
222.219762,104,137.744628
222.47349,103,137.810138
222.076936,103,137.875648
222.620484,104,137.941648
222.690769,104,138.656892
222.419643,104,138.723419
221.815497,102,138.787928
222.631046,105,138.854929
223.109859,105,138.922081
223.357405,106,138.988189
223.666258,107,139.05619
222.610319,103,139.122289
222.344488,103,139.188798
222.878441,105,139.255801
222.660761,104,139.97325
222.443155,103,140.03925
223.080186,105,140.107283
222.56729,104,140.173792
222.572355,104,140.238793
222.381087,104,140.305301
222.596619,104,140.371809
223.001694,105,140.438808
222.938403,105,140.505827
222.105399,103,140.571484
222.963802,105,141.285192
222.255298,103,141.349193
222.987564,105,141.415705
223.228312,105,141.482218
222.166569,102,141.548295
223.078239,105,141.612995
222.62512,104,141.680014
222.188593,103,141.746014
222.961404,105,141.813525
222.48521,104,141.880032
222.569308,104,142.595009
222.927329,105,142.660012
222.781935,105,142.725519
222.819925,104,142.791031
222.333125,103,142.856113
222.994684,105,142.921641
223.16455,105,142.988678
223.023671,105,143.054678
222.544456,103,143.12119
222.491832,104,143.186699
222.28303,103,143.905296
222.487177,103,143.970299
222.4428,103,144.035806
221.954633,103,144.099892
222.312882,103,144.165896
222.523285,104,144.232031
222.868673,104,144.298357
221.743069,102,144.364362
223.077374,105,144.428867
222.473696,104,145.146618
222.434887,104,145.212701
222.82228,105,145.279785
222.581783,104,145.345787
222.291139,104,145.411842
222.143763,103,145.476349
222.934393,105,145.54235
222.384592,103,145.606994
222.798331,104,145.673013
222.175879,102,145.739103
223.182193,105,146.456666
222.907252,105,146.523306
222.923613,105,146.589338
222.488122,104,146.65534
222.424722,103,146.718848
221.888777,103,146.784028
222.947167,105,146.850028
222.051291,103,146.916094
-2.869361,500,147.881917
221.966171,102,147.945917
222.437669,103,148.01307
222.113455,102,148.079053
223.1648,105,148.14518
222.419061,103,148.210692
222.760368,104,148.277201
222.020262,103,148.342203
222.048136,102,149.056882
222.531166,103,149.122941
222.176052,103,149.189022
222.300704,103,149.255023
222.222855,103,149.321073
221.491747,102,149.385161
221.939957,102,149.45116
222.029427,103,149.516671
221.930779,103,149.582455
221.631115,102,149.64662
22.62343,500,150.624203
222.488054,103,150.689714
223.004868,105,150.755714
221.823001,102,150.819225
222.206799,103,150.884735
222.371854,103,150.949737
222.309113,103,151.662079
222.440463,103,151.728582
222.359601,103,151.793689
223.037253,105,151.860729
222.468877,103,151.924243
221.904763,102,151.988821
222.894045,105,152.055821
222.259187,103,152.121332
221.931345,102,152.183843
221.900668,102,152.247843
222.130285,102,152.966772
222.430274,103,153.032278
222.236898,103,153.097431
222.966222,105,153.164438
22.465904,500,153.475966
223.218251,105,153.541474
222.589993,103,154.257188
223.501691,106,154.324697
222.632273,104,154.39121
222.441699,103,154.457209
222.638302,103,154.521962
222.802328,104,154.586334
222.567608,104,154.652384
222.412714,103,154.717894
223.328338,106,154.785408
223.212436,106,154.85125
222.841594,104,155.566831
222.656349,104,155.633371
223.048335,105,155.69888
222.33836,103,155.763882
222.495595,104,155.829391
223.262368,106,155.897899
222.828333,104,155.963901
222.597248,104,156.029943
222.785374,104,156.09545
222.622118,104,156.16045
222.967742,105,156.88113
223.485159,106,156.949135
222.615478,104,157.015702
223.505724,106,157.082214
222.488843,104,157.148212
222.717443,104,157.213552
223.32167,106,157.278122
223.107144,106,157.344125
222.985376,105,157.411149
223.366045,106,157.476657
223.128671,105,158.197273
222.611687,103,158.262273
222.748568,104,158.32778
223.087209,105,158.393837
222.805642,104,158.459838
223.090499,105,158.526447
222.718908,104,158.593422
222.486607,103,158.658422
222.545536,103,158.723934
221.981248,102,158.787443
222.798382,104,159.508959
222.837625,104,159.573621
222.452247,103,159.639128
222.366195,103,159.702637
222.708354,104,159.768641
222.828207,104,159.83515
222.712744,104,159.900658
222.828925,105,159.967662
222.609467,104,160.034172
223.039175,105,160.75676
223.215339,105,160.823274
222.57175,104,160.889009
222.705407,104,160.955784
222.823756,104,161.022077
222.876661,105,161.08914
222.995634,105,161.155649
223.266406,105,161.223162
222.890962,104,161.288393
222.55429,103,161.354395
222.827734,104,162.077397
222.654102,103,162.143906
222.38713,103,162.209415
222.635879,104,162.27642
223.233569,105,162.342944
222.715291,104,162.409455
222.710942,103,162.47546
222.832438,104,162.541558
222.463751,103,162.607067
222.922185,105,162.673071
222.180929,103,163.38677
222.214739,102,163.45177
222.543207,103,163.516284
222.482701,104,163.581894
222.712966,103,163.647898
222.549716,104,163.713416
222.799503,104,163.779418
222.44784,103,163.843926
222.434158,103,163.909419
222.032045,102,163.974419
222.470314,103,164.689757
222.179976,102,164.755758
222.899891,104,164.821275
222.499796,103,164.884843
221.826911,102,164.948842
221.655724,102,165.013351
222.650066,103,165.076855
222.763908,104,165.141399
222.462255,103,165.206913
